title,country,location,date,url,skills,sectors
Ingénieur Etudes et Développement .NET,Maroc,Casablanca,27/09/2021,/offre-emploi-ingenieur-etudes-et-developpement-.net-recrutement-umanis-casablanca-128476.html,"['KS440W865GC4VRBW6LJP', 'KS126JR6F5V2TRCLB1H5', 'KS4420H75G906GRK0QJZ', 'KS120CW76RGGWD48DQ0C', 'KS1200578T5QCYT0Z98G', 'KS124JB619VXG6RQ810C', 'ESFC2F3E50EB0CEA9F56', 'KS120026VL50QFWT2281', 'KS123KN60T73XZFVMNXP', 'KS1200771D9CR9LB4MWW', 'KS124Q3726PHM9JNS05D', 'KS6IEO2WPACTQTQLYSZV', 'KS1206T6DR6QD8JMTQY4', 'KS440VY6ND0ZPW2DXDSP']",Informatique
Data engineer Cloud,Maroc,Casablanca,27/09/2021,/offre-emploi-data-engineer-cloud-recrutement-sofrecom-services-maroc-casablanca-129402.html,"['KS122NM6B8TWBGL2X18F', 'KS125LS6N7WP4S6SFTCK', 'KS440W865GC4VRBW6LJP', 'KSKJX44T33B6D4UCC8CB', 'KS441QN6Q6TZD7YJHPFB', 'KS1283R6BBX34S61XLQS', 'KS120B874P2P6BK1MQ0T', 'KS120BC6BLYD8GXK5DSW', 'ESC7869CF7378283E0AA', 'KS1253H61TTR1FZWSRH4', 'KS122W96T2T9J5PZ0VMP', 'KS120626HMWCXJWJC7VK']",Informatique
Responsable HSE (H/F),Maroc,Casablanca,27/09/2021,/offre-emploi-responsable-hse-hf-recrutement-manpower-agences-casablanca-129406.html,"['KS124Q3726PHM9JNS05D', 'KS1218W78FGVPVP2KXPX', 'KSO5R441CVLUCQ73FDDM']",Agroalimentaire
Responsable Ressources Humaines (H/F),Maroc,Casablanca,27/09/2021,/offre-emploi-responsable-ressources-humaines-hf-recrutement-manpower-agences-casablanca-129404.html,"['KS4401D6PYRMFQC4HR62', 'KS124Q3726PHM9JNS05D', 'KS127NZ5X6TGTX8P6G57', 'KSO5R441CVLUCQ73FDDM']",Agroalimentaire
Analyste Etudes Stratégiques et Montages,Maroc,Casablanca,27/09/2021,/offre-emploi-analyste-etudes-strategiques-et-montages-recrutement-confidentiel-casablanca-129413.html,"['ESA420F05EBBD34B3C2A', 'KS441P36DKPV9PPLT3M3', 'KS1243976G466GV63ZBY', 'KS122B071LMGXVTT3Z91', 'KS128F265DV4XTBR70H7', 'KS127D361PF0FTXDZ7C4', 'KS120GV5ZXR64CJLL1J4', 'KS123MC78KV644P5DDZ0']",BTP / Génie Civil
Directeur Marketing (H/F),Maroc,Rabat,27/09/2021,/offre-emploi-directeur-marketing-hf-recrutement-confidentiel-rabat-129410.html,"['KS121W46CJXQ5ZQ506MS', 'KS1228C646D4PFRLP3PF']",Autres services
Assistant(e) Achat - junior,Maroc,Tanger,27/09/2021,/offre-emploi-assistante-achat---junior-recrutement-manpower-agences-tanger-129409.html,"['KS1217R6SMDJ0WQHN6LK', 'KS122KN7458KR53RS94C', 'KS120X168R21HHC69YVY', 'ESFA9982A2A945E439CB', 'ES72D57E1BC4BB22BBB0', 'KS7G0MR67M0BRYR44YDM', 'KS128G26N5YXFDRX2ZN2', 'KS127D361PF0FTXDZ7C4', 'KS1259D6L30YYG3XR3VL', 'KS4425C63RPH46FJ9BX7', 'KS1280B68GD79P4WMVYW']",Aéronautique / Spatial
Architecte JAVA/J2EE - Freelance,Maroc,Rabat,27/09/2021,/offre-emploi-architecte-javaj2ee---freelance-recrutement-welink-rabat-129408.html,"['KS1218W78FGVPVP2KXPX', 'KS120076FGP5WGWYMP0F', 'KSKJX44T33B6D4UCC8CB', 'KS120GV5ZXR64CJLL1J4', 'KS122C775KRX1DK8Q1RQ', 'KS7G88W63NTDRGKQW46L', 'KS122W867PQYM4N75YWR']",Informatique
Développeurs Java - Freelance,Maroc,Rabat,27/09/2021,/offre-emploi-developpeurs-java---freelance-recrutement-welink-rabat-129405.html,"['KS7G88W63NTDRGKQW46L', 'KS120076FGP5WGWYMP0F', 'KS120GV5ZXR64CJLL1J4', 'ESDDECEF9E95F772C22F']",Informatique
Testeur Informatique Anglophone à Rabat,Maroc,Salé Technopolis,27/09/2021,/offre-emploi-testeur-informatique-anglophone-a-rabat-recrutement-axa-rabat-axa-services-sale-technopolis-129403.html,"['KS123K75YYK8VGH90NCS', 'KS1226Y6DNDT05G7FJ4J', 'KS7G6BW6S130PHLJBN7G', 'KS125KG601PCB7HCW6HC', 'KS122556LMQ829GZCCRV', 'KS120BB62Q72FBYRG5XC', 'KS120626HMWCXJWJC7VK']",Assurance / Courtage
