preferred_label,cluster_status,label_cluster_0,label_cluster_1,label_cluster_2,skill_id
manage musical staff,,,,,0
supervise correctional procedures,,,,,1
apply anti-oppressive practices,assigned,"Healthcare, Social Work & Research",Care & Social Work,Care & Social Work,2
control compliance of railway vehicles regulations,,,,,3
identify available services,manually_reassigned,Transversal skills,General Workplace Skills,General Workplace Skills,4
perform toxicological studies,,,,,5
ensure coquille uniformity,,,,,6
Haskell,clustered,Information & Communication Technologies,Information & Communication Technologies,Data Analytics,7
apply diplomatic principles,,,,,8
lead police investigations,,,,,9
handle fish harvesting waste,,,,,10
develop energy saving concepts,,,,,11
perform street interventions in social work,,,,,12
work with soloists,,,,,13
sport and exercise medicine,clustered,"Healthcare, Social Work & Research",Healthcare,Medical Specialist Skills,14
conduct research on flora,,,,,15
install heat pump,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance","Electrical, Heating & Ventilation Installation",16
handle equipment while suspended,,,,,17
teach housekeeping skills,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Manufacturing & Mechanical Engineering,18
check train engines,,,,,19
manufacture ingredients,,,,,20
maintain aquaculture ponds,,,,,21
apply credit risk policy,assigned,"Business Administration, Finance & Law",Finance & Law,Financial Services,22
handle customer requests related to cargo,,,,,23
utilise advanced clinical skills,assigned,"Healthcare, Social Work & Research",Healthcare,Public Health Administration,24
Incremental development,clustered,Information & Communication Technologies,Information & Communication Technologies,Web & Software Development,25
use of special equipment for daily activities,,,,,26
sawing techniques,,,,,27
produce guitar components,,,,,28
operate agricultural machinery,,,,,29
control pyrotechnics stock,,,,,30
guarantee customer satisfaction,manually_reassigned,Sales & Communication,Customer Services & Sales,Customer Services,31
manufacture wearing apparel products,,,,,32
cure tobacco leaves,,,,,33
develop a rehabilitation programme,assigned,"Healthcare, Social Work & Research",Healthcare,Physiotherapy,34
maintain inventory of cleaning supplies,,,,,35
cold vulcanisation,,,,,36
supervise housekeeping operations,manually_reassigned,"Food, Cleaning & Hospitality","Food, Cleaning & Hospitality",Cleaning Services,37
act as contact person during equipment incident,,,,,38
manage time in landscaping,,,,,39
advise customers,manually_reassigned,Sales & Communication,Customer Services & Sales,Customer Services,40
manage university department,assigned,"Healthcare, Social Work & Research",Healthcare,Public Health Administration,41
develop terminology databases,,,,,42
assess nutritional characteristics of food,,,,,43
repair electric bicycles,,,,,44
maintain sorting equipment,,,,,45
explain features in accommodation venue,assigned,"Business Administration, Finance & Law",Business Administration,Office Adminstration,46
types of barley,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance","Horticulture, Animal Husbandry & Environment",47
KDevelop,,,,,48
carry out parts purchasing,assigned,Sales & Communication,"Procurement, Logistics & Trade",Procurement,49
inspect offshore constructions,,,,,50
transport patient to medical facility,assigned,"Healthcare, Social Work & Research",Healthcare,Public Health Administration,51
adjust envelope cutting settings,,,,,52
prepare oils,,,,,53
purchase supplies,reassigned,Sales & Communication,"Procurement, Logistics & Trade",Procurement,54
pursue excellence in the creation of food products,,,,,55
maintain personal hygiene standards when cleaning,,,,,56
liaise with typists,,,,,57
assess railway operations,,,,,58
practise extreme sports,manually_reassigned,Education,Education,Extracurricular & Sports Activities,59
provide chaperone for children on set,manually_reassigned,Sales & Communication,Customer Services & Sales,Customer Services,60
organise labour,reassigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Civil Engineering,61
use glass engraving tools,,,,,62
operate wrecking ball,,,,,63
evaluate garment quality,,,,,64
apply for refunds,,,,,65
Absorb (learning management systems),,,,,66
peform small vessel administrative duties,,,,,67
cosmetics ingredients,assigned,Sales & Communication,"Procurement, Logistics & Trade",Procurement,68
human dynamics as part of hospitality security,,,,,69
advise on construction materials,,,,,70
maintain rotating equipment,assigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Electrical Engineering,71
manage volunteers in second-hand shop,,,,,72
pump products for storage,,,,,73
medico-biological and medical sciences related to dentistry,,,,,74
attend to detail in casting processes,,,,,75
biomedical science,clustered,"Healthcare, Social Work & Research",Scientific Research,Scientific Research,76
keep up to date on product knowledge,clustered,Sales & Communication,Customer Services & Sales,Customer Services,77
write Hungarian,,,,,78
monitor drilling fluid,,,,,79
develop efficiency plans for maritime shipping,,,,,80
tend packaging machines,manually_reassigned,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Electrical Engineering,81
advise on clay products handling,,,,,82
maintain drilling equipment,,,,,83
control tree diseases,,,,,84
analyse the artistic concept based on stage actions,,,,,85
migrate existing data,,,,,86
manage supplies,clustered,Sales & Communication,"Procurement, Logistics & Trade",Procurement,87
human factors regarding safety,manually_reassigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Workplace Safety Management,88
perform roof maintenance,assigned,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Construction,89
types of digesters,,,,,90
